header.cases,17520000000_0.126350,191500000000_0.105600,231360000000_0.096362
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_logic_andi1_4,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_logic_zexth_0,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_logic_zexth_1,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_logic_zexth_2,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_logic_zexth_3,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_logic_zexth_4,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli1_add_0,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli1_add_1,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli1_add_2,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli1_add_3,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli1_add_4,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli2_add_0,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli2_add_1,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli2_add_2,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli2_add_3,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli2_add_4,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli3_add_0,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli3_add_1,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli3_add_2,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli3_add_3,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli3_add_4,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli4_add_0,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli4_add_1,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli4_add_2,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli4_add_3,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli4_add_4,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli32_srli29_0,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli32_srli29_1,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli32_srli29_2,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli32_srli29_3,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli32_srli29_4,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli32_srli30_0,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli32_srli30_1,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli32_srli30_2,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli32_srli30_3,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli32_srli30_4,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli32_srli31_0,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli32_srli31_1,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli32_srli31_2,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli32_srli31_3,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli32_srli31_4,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli32_srli32_0,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli32_srli32_1,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli32_srli32_2,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli32_srli32_3,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli32_srli32_4,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli48_srli48_0,0,0,0
